iso3_code,common_name,official_name,flag_image_path,wikipedia_url
AFG,Afghanistan,"Islamic Republic of Afghanistan",data/flag-of-afghanistan.svg,https://en.wikipedia.org/wiki/Afghanistan
ALB,Albania,"Republic of Albania",data/flag-of-albania.svg,https://en.wikipedia.org/wiki/Albania
DZA,Algeria,"People's Democratic Republic of Algeria",data/flag-of-algeria.svg,https://en.wikipedia.org/wiki/Algeria
AND,Andorra,"Principality of Andorra",data/flag-of-andorra.svg,https://en.wikipedia.org/wiki/Andorra
AGO,Angola,"Republic of Angola",data/flag-of-angola.svg,https://en.wikipedia.org/wiki/Angola
ATG,"Antigua & Barbuda","Antigua and Barbuda",data/flag-of-antigua-and-barbuda.svg,https://en.wikipedia.org/wiki/Antigua_and_Barbuda
ARG,Argentina,"Argentine Republic",data/flag-of-argentina.svg,https://en.wikipedia.org/wiki/Argentina
ARM,Armenia,"Republic of Armenia",data/flag-of-armenia.svg,https://en.wikipedia.org/wiki/Armenia
AUS,Australia,Australia,data/flag-of-australia.svg,https://en.wikipedia.org/wiki/Australia
AUT,Austria,"Republic of Austria",data/flag-of-austria.svg,https://en.wikipedia.org/wiki/Austria
AZE,Azerbaijan,"Republic of Azerbaijan",data/flag-of-azerbaijan.svg,https://en.wikipedia.org/wiki/Azerbaijan
BHS,Bahamas,"Commonwealth of the Bahamas",data/flag-of-the-bahamas.svg,https://en.wikipedia.org/wiki/The_Bahamas
BHR,Bahrain,"Kingdom of Bahrain",data/flag-of-bahrain.svg,https://en.wikipedia.org/wiki/Bahrain
BGD,Bangladesh,"People's Republic of Bangladesh",data/flag-of-bangladesh.svg,https://en.wikipedia.org/wiki/Bangladesh
BRB,Barbados,Barbados,data/flag-of-barbados.svg,https://en.wikipedia.org/wiki/Barbados
BLR,Belarus,"Republic of Belarus",data/flag-of-belarus.svg,https://en.wikipedia.org/wiki/Belarus
BEL,Belgium,"Kingdom of Belgium",data/flag-of-belgium.svg,https://en.wikipedia.org/wiki/Belgium
BLZ,Belize,Belize,data/flag-of-belize.svg,https://en.wikipedia.org/wiki/Belize
BEN,Benin,"Republic of Benin",data/flag-of-benin.svg,https://en.wikipedia.org/wiki/Benin
BTN,Bhutan,"Kingdom of Bhutan",data/flag-of-bhutan.svg,https://en.wikipedia.org/wiki/Bhutan
BOL,Bolivia,"Plurinational State of Bolivia",data/flag-of-bolivia.svg,https://en.wikipedia.org/wiki/Bolivia
BIH,"Bosnia & Herzegovina","Republic of Bosnia and Herzegovina",data/flag-of-bosnia-and-herzegovina.svg,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
BWA,Botswana,"Republic of Botswana",data/flag-of-botswana.svg,https://en.wikipedia.org/wiki/Botswana
BRA,Brazil,"Federative Republic of Brazil",data/flag-of-brazil.svg,https://en.wikipedia.org/wiki/Brazil
BRN,Brunei,"Brunei Darussalam",data/flag-of-brunei.svg,https://en.wikipedia.org/wiki/Brunei
BGR,Bulgaria,"Republic of Bulgaria",data/flag-of-bulgaria.svg,https://en.wikipedia.org/wiki/Bulgaria
BFA,"Burkina Faso","Burkina Faso",data/flag-of-burkina-faso.svg,https://en.wikipedia.org/wiki/Burkina_Faso
BDI,Burundi,"Republic of Burundi",data/flag-of-burundi.svg,https://en.wikipedia.org/wiki/Burundi
KHM,Cambodia,"Kingdom of Cambodia",data/flag-of-cambodia.svg,https://en.wikipedia.org/wiki/Cambodia
CMR,Cameroon,"Republic of Cameroon",data/flag-of-cameroon.svg,https://en.wikipedia.org/wiki/Cameroon
CAN,Canada,Canada,data/flag-of-canada.svg,https://en.wikipedia.org/wiki/Canada
CPV,"Cape Verde","Republic of Cape Verde",data/flag-of-cape-verde.svg,https://en.wikipedia.org/wiki/Cape_Verde
CAF,"Central African Republic","Central African Republic",data/flag-of-the-central-african-republic.svg,https://en.wikipedia.org/wiki/Central_African_Republic
TCD,Chad,"Republic of Chad",data/flag-of-chad.svg,https://en.wikipedia.org/wiki/Chad
CHL,Chile,"Republic of Chile",data/flag-of-chile.svg,https://en.wikipedia.org/wiki/Chile
CHN,China,"People's Republic of China","data/flag-of-the-people's-republic-of-china.svg",https://en.wikipedia.org/wiki/China
COL,Colombia,"Republic of Colombia",data/flag-of-colombia.svg,https://en.wikipedia.org/wiki/Colombia
COM,Comoros,"Union of the Comoros",data/flag-of-the-comoros.svg,https://en.wikipedia.org/wiki/Comoros
COG,"Congo - Brazzaville","Republic of the Congo",data/flag-of-the-republic-of-the-congo.svg,https://en.wikipedia.org/wiki/Republic_of_the_Congo
COD,"Congo - Kinshasa","The Democratic Republic of the Congo",data/flag-of-the-democratic-republic-of-the-congo.svg,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
COK,"Cook Islands","Cook Islands",data/flag-of-the-cook-islands.svg,https://en.wikipedia.org/wiki/Cook_Islands
CRI,"Costa Rica","Republic of Costa Rica",data/flag-of-costa-rica.svg,https://en.wikipedia.org/wiki/Costa_Rica
HRV,Croatia,"Republic of Croatia",data/flag-of-croatia.svg,https://en.wikipedia.org/wiki/Croatia
CUB,Cuba,"Republic of Cuba",data/flag-of-cuba.svg,https://en.wikipedia.org/wiki/Cuba
CYP,Cyprus,"Republic of Cyprus",data/flag-of-cyprus.svg,https://en.wikipedia.org/wiki/Cyprus
CZE,"Czech Republic","Czech Republic",data/flag-of-the-czech-republic.svg,https://en.wikipedia.org/wiki/Czech_Republic
CIV,"Côte d’Ivoire","Republic of Côte d'Ivoire","data/flag-of-cote-d'ivoire.svg",https://en.wikipedia.org/wiki/Ivory_Coast
DNK,Denmark,"Kingdom of Denmark",data/flag-of-denmark.svg,https://en.wikipedia.org/wiki/Denmark
DJI,Djibouti,"Republic of Djibouti",data/flag-of-djibouti.svg,https://en.wikipedia.org/wiki/Djibouti
DMA,Dominica,"Commonwealth of Dominica",data/flag-of-dominica.svg,https://en.wikipedia.org/wiki/Dominica
